Import data
Number of fabs after import 5085
Filter data
N fabs before filter: 5085, n fabs after filter: 4839
N fabs before filter: 46, n fabs after filter: 46
N fabs before filter: 4839, n fabs after filter: 4483
N fabs before filter: 46, n fabs after filter: 46
N fabs before filter: 4483, n fabs after filter: 4412
Format data
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Size train/val set:  4412 , size test set: 46
Prepare dataloaders
Size train set: 4312, val set: 100, test set: 46
Start training
Start with 1st optimiser
 Train |  Val 
 21.09 |  68.72
215.23 | 300.49
 37.26 |  22.59
 48.23 |  59.09
 47.06 |  66.39
 11.25 |   2.05
  1.90 |   1.86
  1.72 |   1.78
  1.62 |   1.60
  1.55 |   1.60
  1.51 |   1.53
  1.49 |   1.52
  1.47 |   1.44
  1.44 |   1.62
  1.45 |   1.43
  1.41 |   1.53
  1.40 |   1.46
  1.40 |   1.41
  1.38 |   1.42
  1.36 |   1.41
  1.36 |   1.40
  1.36 |   1.41
  1.35 |   1.45
  1.34 |   1.41
  1.33 |   1.34
  1.34 |   1.36
  1.33 |   1.34
  1.32 |   1.38
  1.31 |   1.34
  1.31 |   1.36
  1.31 |   1.34
  1.30 |   1.30
  1.30 |   1.32
  1.29 |   1.30
  1.29 |   1.32
  1.28 |   1.32
  1.29 |   1.34
  1.27 |   1.29
  1.27 |   1.27
  1.27 |   1.31
  1.27 |   1.36
  1.27 |   1.34
  1.26 |   1.29
  1.26 |   1.34
  1.25 |   1.37
  1.25 |   1.31
  1.26 |   1.31
  1.25 |   1.28
  1.24 |   1.27
  1.24 |   1.24
  1.24 |   1.27
  1.24 |   1.27
  1.23 |   1.25
  1.23 |   1.31
  1.24 |   1.25
  1.23 |   1.25
  1.24 |   1.25
  1.23 |   1.24
  1.22 |   1.33
  1.23 |   1.24
  1.23 |   1.22
  1.23 |   1.24
  1.22 |   1.24
  1.22 |   1.26
  1.22 |   1.32
  1.22 |   1.25
  1.22 |   1.27
  1.21 |   1.22
  1.21 |   1.24
  1.21 |   1.23
  1.21 |   1.24
  1.21 |   1.23
  1.21 |   1.24
  1.21 |   1.24
  1.20 |   1.24
  1.21 |   1.29
  1.20 |   1.24
  1.22 |   1.26
  1.20 |   1.30
  1.21 |   1.22
  1.21 |   1.23
  1.20 |   1.24
  1.19 |   1.26
  1.20 |   1.26
  1.20 |   1.21
  1.20 |   1.23
  1.20 |   1.22
  1.20 |   1.23
  1.20 |   1.27
  1.20 |   1.25
  1.21 |   1.31
  1.20 |   1.22
  1.20 |   1.22
  1.19 |   1.21
  1.20 |   1.22
  1.19 |   1.28
  1.19 |   1.23
  1.19 |   1.22
  1.20 |   1.21
  1.19 |   1.21
  1.21 |   1.28
  1.20 |   1.27
  1.19 |   1.19
  1.20 |   1.20
  1.19 |   1.22
  1.20 |   1.25
  1.19 |   1.20
  1.19 |   1.20
  1.19 |   1.21
  1.19 |   1.24
  1.19 |   1.25
  1.19 |   1.19
  1.19 |   1.23
  1.18 |   1.19
  1.19 |   1.21
  1.18 |   1.24
  1.18 |   1.22
  1.18 |   1.23
  1.19 |   1.19
